rank,feature_id,token,active_mean_base,active_mean_chat,active_mean_diff,link
96,22842,newline,3.46875,0.0,-3.46875,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/22842
78,80545,asst,3.467514991760254,0.0,-3.467514991760254,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/80545
52,58467,endheader,3.453125,0.0,-3.453125,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/58467
97,47684,newline,3.453125,0.0,-3.453125,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/47684
98,58467,newline,3.453125,0.0,-3.453125,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/58467
79,58467,asst,3.453125,0.0,-3.453125,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/58467
53,64318,endheader,3.4381792545318604,0.0,-3.4381792545318604,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/64318
80,57991,asst,3.4375,0.0,-3.4375,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/57991
81,8477,asst,3.4334821701049805,0.0,-3.4334821701049805,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/8477
54,96940,endheader,3.4296875,0.0,-3.4296875,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/96940
82,96940,asst,3.4296875,0.0,-3.4296875,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/96940
99,96940,newline,3.4296875,0.0,-3.4296875,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/96940
100,41244,newline,3.421875,0.0,-3.421875,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/41244
83,16990,asst,3.40625,0.0,-3.40625,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/16990
55,16990,endheader,3.40625,0.0,-3.40625,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/16990
84,94765,asst,3.40625,0.0,-3.40625,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/94765
85,86340,asst,3.405686855316162,0.0,-3.405686855316162,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/86340
57,96386,endheader,3.390625,0.0,-3.390625,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/96386
86,96386,asst,3.390625,0.0,-3.390625,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/96386
56,36498,endheader,3.390625,0.0,-3.390625,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/36498
